beer_id,beer_name,beer_style,beer_abv,brewery_name,brewery_id
108,Samuel Adams Cherry Wheat,Fruit / Vegetable Beer,5.3,Boston Beer Company (Samuel Adams),35
111,Samuel Adams Triple Bock,American Strong Ale,17.5,Boston Beer Company (Samuel Adams),35
129,Orval Trappist Ale,Belgian Pale Ale,6.9,Brasserie d'Orval S.A.,37
131,Ayinger Celebrator Doppelbock,Doppelbock,6.7,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,39
132,Ayinger Bräu Weisse,Hefeweizen,5.1,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,39
138,Corsendonk Pater / Abbey Brown Ale,Dubbel,7.5,Brouwerij Corsendonk,41
141,Hennepin (Farmhouse Saison),Saison / Farmhouse Ale,7.7,Brewery Ommegang,42
142,Ommegang (Abbey Ale),Dubbel,8.5,Brewery Ommegang,42
146,Brooklyn Brown Ale,American Brown Ale,5.6,Brooklyn Brewery,45
147,Brooklyn East India Pale Ale,English India Pale Ale (IPA),6.8,Brooklyn Brewery,45
148,Brooklyn Lager,American Amber / Red Lager,5.2,Brooklyn Brewery,45
155,Gulden Draak (Dark Triple),Belgian Strong Dark Ale,10.5,Brouwerij Van Steenberge N.V.,48
156,Piraat Ale,Belgian IPA,10.5,Brouwerij Van Steenberge N.V.,48
159,Denver Pale Ale,English Pale Ale,5.4,Great Divide Brewing Company,158
171,Dos Equis Amber Lager,Vienna Lager,4.5,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",57
184,Smuttynose Old Brown Dog Ale,American Brown Ale,6.5,Smuttynose Brewing Company,141
185,Smuttynose Imperial Stout (Big Beer Series),Russian Imperial Stout,9.8,Smuttynose Brewing Company,141
186,Smuttynose Shoals Pale Ale,American Pale Ale (APA),5.4,Smuttynose Brewing Company,141
195,Mirror Pond Pale Ale,American Pale Ale (APA),5,Deschutes Brewery,63
197,Obsidian Stout,American Stout,6.4,Deschutes Brewery,63
198,Black Butte Porter,American Porter,5.2,Deschutes Brewery,63
199,Immort Ale,American Strong Ale,11,Dogfish Head Brewery,10099
204,Old Scratch Amber Lager,California Common / Steam Beer,5.5,Flying Dog Brewery,68
205,Snake Dog IPA,American IPA,7.1,Flying Dog Brewery,68
206,Road Dog Porter,American Porter,6,Flying Dog Brewery,68
219,Fuller's ESB,Extra Special / Strong Bitter (ESB),5.9,Fuller Smith & Turner PLC,71
221,Fuller's London Porter,English Porter,5.4,Fuller Smith & Turner PLC,71
222,Fuller's London Pride,English Pale Ale,4.7,Fuller Smith & Turner PLC,71
224,Schneider Aventinus,Weizenbock,8.2,Weisses Bräuhaus G. Schneider & Sohn GmbH,72
225,Great Lakes Burning River Pale Ale,American Pale Ale (APA),6,Great Lakes Brewing Company,73
226,Great Lakes Edmund Fitzgerald Porter,American Porter,5.8,Great Lakes Brewing Company,73
228,Great Lakes Dortmunder Gold,Dortmunder / Export Lager,5.8,Great Lakes Brewing Company,73
229,Great Lakes Eliot Ness,Vienna Lager,6.2,Great Lakes Brewing Company,73
232,Corona Extra,American Adjunct Lager,4.6,Grupo Modelo S.A. de C.V.,75
234,Hacker-Pschorr Oktoberfest-Märzen,Märzen / Oktoberfest,5.8,Hacker-Pschorr Bräu GmbH,76
236,Hobgoblin,English Brown Ale,5.2,Wychwood Brewery Company Ltd,160
245,Fraoch Heather Ale,Scottish Gruit / Ancient Herbed Ale,5,Williams Brothers Brewing Company,12142
246,Heineken Lager Beer,Euro Pale Lager,5,Heineken Nederland B.V.,81
248,Hoegaarden Original White Ale,Witbier,4.9,Brouwerij van Hoegaarden,83
262,Saint Bridget's Porter,American Porter,5.9,Great Divide Brewing Company,158
276,Sierra Nevada Pale Ale,American Pale Ale (APA),5.6,Sierra Nevada Brewing Co.,140
279,Sierra Nevada Porter,American Porter,5.6,Sierra Nevada Brewing Co.,140
283,Sierra Nevada Stout,American Stout,5.8,Sierra Nevada Brewing Co.,140
299,#9,Fruit / Vegetable Beer,5.1,Magic Hat Brewing Company,96
310,Harpoon Winter Warmer,Winter Warmer,5.5,Harpoon Brewery,10097
311,Harpoon IPA,American IPA,5.9,Harpoon Brewery,10097
318,UFO Hefeweizen,American Pale Wheat Ale,5.1,Harpoon Brewery,10097
321,Saranac Black Forest,Schwarzbier,5.5,Matt Brewing Company,99
332,Miller Lite,Light Lager,4.17,Miller Brewing Co.,105
353,Mocha Porter,American Porter,5.3,Rogue Ales,132
354,Chipotle Ale,Chile Beer,5.5,Rogue Ales,132
355,Dead Guy Ale,Maibock / Helles Bock,6.5,Rogue Ales,132
356,Imperial Stout,Russian Imperial Stout,11,Rogue Ales,132
358,XS Imperial India Pale Ale,American Double / Imperial IPA,9.5,Rogue Ales,132
361,Brutal Bitter Ale,American IPA,5.8,Rogue Ales,132
363,American Amber Ale,American Amber / Red Ale,5.6,Rogue Ales,132
386,Paulaner Oktoberfest-Märzen,Märzen / Oktoberfest,6,Paulaner Brauerei GmbH & Co. KG,124
387,Salvator Doppel Bock,Doppelbock,7.9,Paulaner Brauerei GmbH & Co. KG,124
402,SkullSplitter,Scotch Ale / Wee Heavy,8.5,Orkney Brewery,118
408,Old #38 Stout,Irish Dry Stout,5.6,North Coast Brewing Co.,112
409,Scrimshaw Pilsner,German Pilsener,4.4,North Coast Brewing Co.,112
410,Ruedrich's Red Seal Ale,American Amber / Red Ale,5.5,North Coast Brewing Co.,112
411,Pranqster,Belgian Strong Pale Ale,7.6,North Coast Brewing Co.,112
412,Old Rasputin Russian Imperial Stout,Russian Imperial Stout,9,North Coast Brewing Co.,112
429,Pilsner Urquell,Czech Pilsener,4.4,"Plzensky Prazdroj, a. s.",1
448,Allagash Tripel Ale,Tripel,9,Allagash Brewing Company,4
449,Stella Artois,Euro Pale Lager,5,Stella Artois,169
459,Fred,American Strong Ale,10,Hair of the Dog Brewing Company / Brewery and Tasting Room,173
560,Fuller's 1845,English Strong Ale,6.3,Fuller Smith & Turner PLC,71
567,Rolling Rock Extra Pale,American Adjunct Lager,4.6,Latrobe Brewing Co.,174
570,Brooklyn Oktoberfest Beer,Märzen / Oktoberfest,5.5,Brooklyn Brewery,45
571,Samuel Smith's Oatmeal Stout,Oatmeal Stout,5,Samuel Smith Old Brewery (Tadcaster),113
572,"Samuel Smith's, The Famous Taddy Porter",English Porter,5,Samuel Smith Old Brewery (Tadcaster),113
573,Samuel Smith's India Ale,English India Pale Ale (IPA),5,Samuel Smith Old Brewery (Tadcaster),113
575,Samuel Smith's Old Brewery Pale Ale,English Pale Ale,5,Samuel Smith Old Brewery (Tadcaster),113
576,Samuel Smith's Nut Brown Ale,English Brown Ale,5,Samuel Smith Old Brewery (Tadcaster),113
577,Samuel Smith's Winter Welcome Ale,Winter Warmer,6,Samuel Smith Old Brewery (Tadcaster),113
580,Miller High Life,American Adjunct Lager,5,Miller Brewing Co.,105
582,Spaten Oktoberfestbier Ur-Märzen,Märzen / Oktoberfest,5.9,Spaten-Franziskaner-Bräu,142
593,Rare Vos (Amber Ale),Belgian Pale Ale,6.5,Brewery Ommegang,42
599,Lindemans Framboise,Lambic - Fruit,2.5,Brouwerij Lindemans,187
607,Fat Tire Amber Ale,American Amber / Red Ale,5.2,New Belgium Brewing,192
611,Hop Ottin' IPA,American IPA,7,Anderson Valley Brewing Company,193
615,Barney Flats Oatmeal Stout,Oatmeal Stout,5.7,Anderson Valley Brewing Company,193
622,Smuttynose Robust Porter,American Porter,5.7,Smuttynose Brewing Company,141
635,Pauwel Kwak,Belgian Strong Pale Ale,8.4,Brouwerij Bosteels,202
637,Old Speckled Hen,English Pale Ale,5.2,Greene King / Morland Brewery,203
639,Newcastle Brown Ale,English Brown Ale,4.7,The Caledonian Brewery Company Limited,342
643,Buffalo Bill's Pumpkin Ale,Pumpkin Ale,5.2,Buffalo Bill's Brewery,205
645,Trappistes Rochefort 10,Quadrupel (Quad),11.3,Brasserie de Rochefort,207
646,Westmalle Trappist Tripel,Tripel,9.5,Brouwerij Westmalle,208
650,Guinness Extra Stout (Original),Irish Dry Stout,6,Guinness Ltd.,209
656,Tripel Karmeliet,Tripel,8.4,Brouwerij Bosteels,202
665,Anchor Liberty Ale,American Pale Ale (APA),6,Anchor Brewing Company,28
667,Negra Modelo,Munich Dunkel Lager,5.4,Grupo Modelo S.A. de C.V.,75
672,Chimay Première (Red),Dubbel,7,Bières de Chimay S.A.,215
673,Rodenbach Grand Cru,Flanders Red Ale,6,Brouwerij Rodenbach N.V.,216
674,Westmalle Trappist Dubbel,Dubbel,7,Brouwerij Westmalle,208
680,Brooklyn Black Chocolate Stout,Russian Imperial Stout,10,Brooklyn Brewery,45
689,Red Stripe Jamaican Lager,American Adjunct Lager,4.7,Desnoes & Geddes Limited,221
694,Don de Dieu,Belgian Strong Pale Ale,9,Unibroue,22
695,Duvel,Belgian Strong Pale Ale,8.5,Brouwerij Duvel Moortgat NV,222
702,Juniper Pale Ale,Herbed / Spiced Beer,5.3,Rogue Ales,132
703,Murphy's Irish Stout,Irish Dry Stout,4,Murphy Brewery Ireland Limited,240
705,J.W. Lees Vintage Harvest Ale,English Barleywine,11.5,J.W. Lees & Co (Brewers) Ltd,178
709,Big Eye IPA,American IPA,7,Ballast Point Brewing Company,199
712,Weihenstephaner Original,Munich Helles Lager,5.1,Bayerische Staatsbrauerei Weihenstephan,252
722,St. Bernardus Tripel,Tripel,8,Brouwerij St. Bernardus NV,259
727,Aecht Schlenkerla Rauchbier Märzen,Rauchbier,5.4,Brauerei Heller-Trum / Schlenkerla,263
731,Weihenstephaner Hefeweissbier,Hefeweizen,5.4,Bayerische Staatsbrauerei Weihenstephan,252
751,Sweetwater 420 Extra Pale Ale,American Pale Ale (APA),5.4,SweetWater Brewing Company,273
752,Guinness Foreign Extra Stout,Foreign / Export Stout,7.5,Guinness Ltd.,209
754,Guinness Draught,Irish Dry Stout,4.2,Guinness Ltd.,209
760,Weihenstephaner Kristallweissbier,Kristalweizen,5.4,Bayerische Staatsbrauerei Weihenstephan,252
767,Tsingtao,American Adjunct Lager,4.8,"Tsingtao Brewery Co., Ltd.",281
772,Hacker-Pschorr Hefe Weisse Natürtrub,Hefeweizen,5.5,Hacker-Pschorr Bräu GmbH,76
776,Samichlaus Bier,Doppelbock,14,Brauerei Schloss Eggenberg,285
779,Weihenstephaner Korbinian,Doppelbock,7.4,Bayerische Staatsbrauerei Weihenstephan,252
782,Samuel Smith's Imperial Stout,Russian Imperial Stout,7,Samuel Smith Old Brewery (Tadcaster),113
794,Bell's Amber Ale,American Amber / Red Ale,5.8,"Bell's Brewery, Inc.",287
808,Weihenstephaner Hefeweissbier Dunkel,Dunkelweizen,5.3,Bayerische Staatsbrauerei Weihenstephan,252
811,Bass Pale Ale,English Pale Ale,5,Bass Brewers Limited,293
832,Dundee Original Honey Brown Lager,American Amber / Red Lager,4.5,Genesee Brewing Co. / Dundee Brewing Co.,302
833,Samuel Adams Pale Ale,English Pale Ale,5.25,Boston Beer Company (Samuel Adams),35
836,Brooklyn Ale / Pennant Ale '55,English Pale Ale,5,Brooklyn Brewery,45
837,Coors Light,Light Lager,4.2,Coors Brewing Company,306
846,Samuel Adams Scotch Ale,Scotch Ale / Wee Heavy,5.4,Boston Beer Company (Samuel Adams),35
857,Trappist Westvleteren 8,Dubbel,8,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),313
862,Harp Lager,Euro Pale Lager,5,Guinness Ltd.,209
875,Old Engine Oil,English Porter,6,Harviestoun Brewery Ltd.,323
906,Saranac Black & Tan,Black & Tan,5.4,Matt Brewing Company,99
909,Killian's Irish Red,American Amber / Red Lager,4.9,Coors Brewing Company,306
914,Saranac Pale Ale,English Pale Ale,5.5,Matt Brewing Company,99
916,Lagunitas IPA,American IPA,6.2,Lagunitas Brewing Company,220
918,Foster's Lager,American Adjunct Lager,5,Foster's Group Limited,575
924,Franziskaner Hefe-Weisse Dunkel,Dunkelweizen,5,Spaten-Franziskaner-Bräu,142
926,Theakston Old Peculier,Old Ale,5.7,T & R Theakston Ltd.,359
927,Beamish Irish Stout,Irish Dry Stout,4.1,Beamish & Crawford Plc.,358
935,Warsteiner Premium Verum,German Pilsener,4.8,Warsteiner Brauerei,360
945,Adam,Old Ale,10,Hair of the Dog Brewing Company / Brewery and Tasting Room,173
1003,Golden Monkey,Tripel,9.5,Victory Brewing Company,345
1005,HopDevil Ale,American IPA,6.7,Victory Brewing Company,345
1008,Moonglow Weizenbock,Weizenbock,8.7,Victory Brewing Company,345
1009,Old Horizontal,American Barleywine,11,Victory Brewing Company,345
1010,Prima Pils,German Pilsener,5.3,Victory Brewing Company,345
1013,Storm King Stout,Russian Imperial Stout,9.1,Victory Brewing Company,345
1015,Whirlwind Witbier,Witbier,5,Victory Brewing Company,345
1017,Festbier,Märzen / Oktoberfest,5.6,Victory Brewing Company,345
1054,Trippel Belgian Style Ale,Tripel,7.8,New Belgium Brewing,192
1056,Double Bastard Ale,American Strong Ale,10.5,Stone Brewing Co.,147
1079,Shelter Pale Ale,American Pale Ale (APA),5,Dogfish Head Brewery,10099
1093,Two Hearted Ale,American IPA,7,"Bell's Brewery, Inc.",287
1094,Bell's Oberon Ale,American Pale Wheat Ale,5.8,"Bell's Brewery, Inc.",287
1115,Lion Stout,Foreign / Export Stout,8.8,Ceylon / Lion Brewery Limited,389
1117,Bell's Kalamazoo Stout,American Stout,6,"Bell's Brewery, Inc.",287
1118,Chocolate Stout,American Stout,6,Rogue Ales,132
1119,Redhook ESB,Extra Special / Strong Bitter (ESB),5.77,Redhook Ale Brewery,18134
1128,Old Heathen Imperial Stout,Russian Imperial Stout,8,Weyerbacher Brewing Co.,392
1153,Chicory Stout,American Stout,5.2,Dogfish Head Brewery,10099
1157,Honker's Ale,English Bitter,4.2,Goose Island Beer Co.,1549
1158,Pride & Joy Mild Ale,American Pale Ale (APA),5,Three Floyds Brewing Co. & Brewpub,26
1159,Robert The Bruce Scottish Ale,Scottish Ale,6.5,Three Floyds Brewing Co. & Brewpub,26
1160,Stone Imperial Russian Stout,Russian Imperial Stout,10.5,Stone Brewing Co.,147
1161,Indian Brown Ale,American Brown Ale,7.2,Dogfish Head Brewery,10099
1163,Belhaven Scottish Ale,Scottish Ale,5.2,Belhaven Brewery Company Ltd.,148
1173,Santa's Private Reserve Ale,American Amber / Red Ale,6,Rogue Ales,132
1180,Raison D'etre,Belgian Strong Dark Ale,8,Dogfish Head Brewery,10099
1192,Dominion Oak Barrel Stout,American Stout,6.1,Old Dominion Brewing Company,402
1193,Samuel Adams Boston Ale (Stock Ale),American Pale Ale (APA),4.94,Boston Beer Company (Samuel Adams),35
1206,Bell's Pale Ale,American Pale Ale (APA),5.2,"Bell's Brewery, Inc.",287
1212,Blue Moon Belgian White,Witbier,5.4,Coors Brewing Company,306
1213,Doggie Style Classic Pale Ale,American Pale Ale (APA),5.5,Flying Dog Brewery,68
1249,Kirin Ichiban,American Pale Lager,5,"Kirin Brewery Company, Limited",292
1252,Michelob Amber Bock,Bock,5.2,Anheuser-Busch,29
1256,Paulaner Hefe-Weissbier Naturtrüb,Hefeweizen,5.5,Paulaner Brauerei GmbH & Co. KG,124
1276,Coors,American Adjunct Lager,5,Coors Brewing Company,306
1287,Bell's Porter,American Porter,5.6,"Bell's Brewery, Inc.",287
1314,Xingu Black Beer,Schwarzbier,4.7,Cervejaria Sul Brasileira,434
1320,Bud Light,Light Lager,4.2,Anheuser-Busch,29
1324,Aecht Schlenkerla Rauchbier Urbock,Rauchbier,6.6,Brauerei Heller-Trum / Schlenkerla,263
1331,Pabst Blue Ribbon (PBR),American Adjunct Lager,4.74,Pabst Brewing Company,447
1339,Hazelnut Brown Nectar,American Brown Ale,6.2,Rogue Ales,132
1346,Chimay Tripel (White),Tripel,8,Bières de Chimay S.A.,215
1351,Yuengling Traditional Lager,American Amber / Red Lager,4.4,Yuengling Brewery ,23980
1352,Shiner Bock,Bock,4.4,Spoetzl Brewery,143
1361,Ayinger Oktober Fest-Märzen,Märzen / Oktoberfest,5.8,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,39
1371,Labatt Blue,American Adjunct Lager,5,Labatt Brewing Company Ltd.,478
1372,Maximus,American Double / Imperial IPA,8.2,Lagunitas Brewing Company,220
1381,Yuengling Black & Tan,Black & Tan,4.7,Yuengling Brewery ,23980
1385,Delirium Tremens,Belgian Strong Pale Ale,8.5,Brouwerij Huyghe,180
1402,La Trappe Quadrupel (Koningshoeven / Dominus),Quadrupel (Quad),10,Bierbrouwerij De Koningshoeven B.V.,184
1421,Delirium Nocturnum,Belgian Strong Dark Ale,8.5,Brouwerij Huyghe,180
1426,Grolsch Premium Lager,Euro Pale Lager,5,Grolsch Bierbrouwerij N.V.,506
1444,Bell's Expedition Stout,Russian Imperial Stout,10.5,"Bell's Brewery, Inc.",287
1445,Anchor Old Foghorn,English Barleywine,8.2,Anchor Brewing Company,28
1446,Hibernation Ale,Old Ale,8.7,Great Divide Brewing Company,158
1464,Saranac India Pale Ale,American IPA,5.8,Matt Brewing Company,99
1483,Hops Infusion,American IPA,6.2,Weyerbacher Brewing Co.,392
1490,Hog Heaven Barley Wine,American Barleywine,9.2,Avery Brewing Company,30
1493,Sweetwater IPA,American IPA,6.3,SweetWater Brewing Company,273
1503,Sam Adams Light,Light Lager,4,Boston Beer Company (Samuel Adams),35
1524,Natural Light,Light Lager,4.2,Anheuser-Busch,29
1543,Sawtooth Ale,Extra Special / Strong Bitter (ESB),5.3,Left Hand Brewing Company,418
1545,Trappist Westvleteren 12,Quadrupel (Quad),10.2,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),313
1558,Dreadnaught IPA,American Double / Imperial IPA,9.5,Three Floyds Brewing Co. & Brewpub,26
1566,Blithering Idiot,English Barleywine,11.1,Weyerbacher Brewing Co.,392
1575,Great Lakes Commodore Perry IPA,English India Pale Ale (IPA),7.5,Great Lakes Brewing Company,73
1576,Great Lakes Christmas Ale,Winter Warmer,7.5,Great Lakes Brewing Company,73
1577,Wisconsin Belgian Red,Fruit / Vegetable Beer,4,New Glarus Brewing Company,590
1579,Olde GnarlyWine,American Barleywine,10.6,Lagunitas Brewing Company,220
1585,Raspberry Tart,Fruit / Vegetable Beer,4,New Glarus Brewing Company,590
1587,Midas Touch Golden Elixir,Herbed / Spiced Beer,9,Dogfish Head Brewery,10099
1597,St. Rogue Red,American Amber / Red Ale,5.1,Rogue Ales,132
1611,Warsteiner Premium Dunkel,Munich Dunkel Lager,4.9,Warsteiner Brauerei,360
1632,Cantillon Kriek 100% Lambic,Lambic - Fruit,5,Brasserie Cantillon,388
1641,Bitburger Premium Pils,German Pilsener,4.8,Bitburger Brauerei,613
1655,Red Rocket Ale,American Amber / Red Ale,6.8,Bear Republic Brewing Co.,610
1658,Big Bear Black Stout,American Double / Imperial Stout,8.1,Bear Republic Brewing Co.,610
1670,Indica India Pale Ale,American IPA,6.5,Lost Coast Brewery and Cafe,256
1696,Trappistes Rochefort 8,Dubbel,9.2,Brasserie de Rochefort,207
1708,St. Bernardus Abt 12,Quadrupel (Quad),10,Brouwerij St. Bernardus NV,259
1717,Saison Dupont,Saison / Farmhouse Ale,6.5,Brasserie Dupont sprl,637
1745,Duchesse De Bourgogne,Flanders Red Ale,6,Brouwerij Verhaeghe,641
1769,Alaskan Smoked Porter,American Porter,6.5,Alaskan Brewing Co.,429
1774,Köstritzer Schwarzbier,Schwarzbier,4.8,Köstritzer Schwarzbierbrauerei GmbH & Co.,648
1790,Peroni Nastro Azzurro,Euro Pale Lager,5.1,Birra Peroni Industriale S.p.A.,258
1792,Great Lakes Nosferatu,American Strong Ale,8,Great Lakes Brewing Company,73
1798,Boddingtons Pub Ale,English Pale Ale,4.7,Boddingtons,655
1836,La Chouffe,Belgian Strong Pale Ale,8,Brasserie d'Achouffe,321
1855,St. Bernardus Prior 8,Dubbel,8,Brouwerij St. Bernardus NV,259
1856,St. Bernardus Pater 6,Dubbel,6.7,Brouwerij St. Bernardus NV,259
1867,Old Stock Ale,Old Ale,11.9,North Coast Brewing Co.,112
1879,Samuel Adams Cream Stout,Milk / Sweet Stout,4.9,Boston Beer Company (Samuel Adams),35
1881,Samuel Adams Old Fezziwig Ale,Winter Warmer,5.9,Boston Beer Company (Samuel Adams),35
1882,Rodenbach Classic (Red),Flanders Red Ale,5.2,Brouwerij Rodenbach N.V.,216
1891,Third Coast Old Ale,American Barleywine,10.2,"Bell's Brewery, Inc.",287
1903,Samuel Adams Cranberry Lambic,Fruit / Vegetable Beer,5.9,Boston Beer Company (Samuel Adams),35
1904,Sierra Nevada Celebration Ale,American IPA,6.8,Sierra Nevada Brewing Co.,140
1912,Abbey Belgian Style Ale,Dubbel,7,New Belgium Brewing,192
1914,1554 Enlightened Black Ale,Belgian Dark Ale,5.6,New Belgium Brewing,192
1917,La Folie,Flanders Red Ale,6,New Belgium Brewing,192
1924,Bell's Best Brown,English Brown Ale,5.8,"Bell's Brewery, Inc.",287
1932,Pumpkinhead Ale,Pumpkin Ale,5.1,Shipyard Brewing Co.,139
1934,Schneider Aventinus Weizen-Eisbock,Eisbock,12,Weisses Bräuhaus G. Schneider & Sohn GmbH,72
1944,Spaten Münchner Hell (Premium Lager),Munich Helles Lager,5.2,Spaten-Franziskaner-Bräu,142
1946,Franziskaner Hefe-Weisse,Hefeweizen,5,Spaten-Franziskaner-Bräu,142
1963,Spotted Cow,Cream Ale,4.8,New Glarus Brewing Company,590
2010,Bell's Java Stout,American Double / Imperial Stout,7.5,"Bell's Brewery, Inc.",287
2014,The Reverend,Quadrupel (Quad),10,Avery Brewing Company,30
2040,Reissdorf Kölsch,Kölsch,4.8,Brauerei Heinrich Reissdorf,288
2041,Erdinger Weissbier Dunkel,Dunkelweizen,5.6,Erdinger Weissbräu,703
2081,Winter Solstice Seasonal Ale,Winter Warmer,6.9,Anderson Valley Brewing Company,193
2093,90 Minute IPA,American Double / Imperial IPA,9,Dogfish Head Brewery,10099
2137,Leffe Blonde,Belgian Pale Ale,6.6,Abbaye de Leffe S.A.,470
2151,Tire Bite Golden Ale,Kölsch,5.1,Flying Dog Brewery,68
2178,Jubelale,Winter Warmer,6.7,Deschutes Brewery,63
2231,Brooklyn Monster Ale,English Barleywine,10.8,Brooklyn Brewery,45
2249,In-Heat Wheat,Hefeweizen,4.7,Flying Dog Brewery,68
2264,Brown Shugga',American Strong Ale,9.99,Lagunitas Brewing Company,220
2280,Miller Genuine Draft,American Adjunct Lager,4.66,Miller Brewing Co.,105
2296,Moose Drool Brown Ale,American Brown Ale,5.1,Big Sky Brewing Company,751
2347,Delirium Noël,Belgian Strong Dark Ale,10,Brouwerij Huyghe,180
2392,World Wide Stout,American Double / Imperial Stout,18,Dogfish Head Brewery,10099
2403,Bell's Special Double Cream Stout,American Stout,6.1,"Bell's Brewery, Inc.",287
2434,Erdinger Weissbier,Hefeweizen,5.6,Erdinger Weissbräu,703
2435,Beck's,German Pilsener,5,Brauerei Beck & Co.,32
2442,St. Peter's Cream Stout,Milk / Sweet Stout,6.5,St. Peter's Brewery Co Ltd,296
2508,Maredsous 8 - Dubbel,Dubbel,8,Brouwerij Duvel Moortgat NV,222
2511,Bell's Cherry Stout,American Stout,7,"Bell's Brewery, Inc.",287
2512,Chimay Grande Réserve (Blue),Belgian Strong Dark Ale,9,Bières de Chimay S.A.,215
2533,Hairy Eyeball Ale,American Strong Ale,9,Lagunitas Brewing Company,220
2550,Anchor Summer Beer,American Pale Wheat Ale,4.6,Anchor Brewing Company,28
2557,Cantillon Rosé De Gambrinus,Lambic - Fruit,5,Brasserie Cantillon,388
2566,Maredsous 10 - Triple,Tripel,10,Brouwerij Duvel Moortgat NV,222
2619,Tröegs Pale Ale,American Pale Ale (APA),5.4,Tröegs Brewing Company,694
2671,Sierra Nevada Bigfoot Barleywine Style Ale,American Barleywine,9.6,Sierra Nevada Brewing Co.,140
2678,Horn Dog Barley Wine Style Ale,English Barleywine,10.5,Flying Dog Brewery,68
2684,Samuel Adams Honey Porter,English Porter,5.45,Boston Beer Company (Samuel Adams),35
2704,St-Ambroise Oatmeal Stout,Oatmeal Stout,5,McAuslan Brewing,194
2729,India Pale Ale (IPA),American IPA,6.5,Avery Brewing Company,30
2732,Bell's Consecrator Doppelbock,Doppelbock,8,"Bell's Brewery, Inc.",287
2751,Racer 5 India Pale Ale,American IPA,7,Bear Republic Brewing Co.,610
2758,Sinebrychoff Porter,Baltic Porter,7.2,Oy Sinebrychoff Ab,264
2894,Ellie's Brown Ale,American Brown Ale,5.5,Avery Brewing Company,30
2904,New Holland Mad Hatter India Pale Ale,American IPA,5.25,New Holland Brewing Company,335
2965,XS Old Crustacean,American Barleywine,11.5,Rogue Ales,132
3089,Raison D'extra,Belgian Strong Dark Ale,18,Dogfish Head Brewery,10099
3158,Hop Rod Rye,Rye Beer,8,Bear Republic Brewing Co.,610
3280,Schneider Weisse Original,Hefeweizen,5.4,Weisses Bräuhaus G. Schneider & Sohn GmbH,72
3295,Old Jubilation,Old Ale,8.3,Avery Brewing Company,30
3338,Cadillac Mountain Stout,American Stout,6.7,Bar Harbor Brewing Company,347
3434,Left Hand Milk Stout,Milk / Sweet Stout,6,Left Hand Brewing Company,418
3439,Moylander Double IPA,American Double / Imperial IPA,8.5,Moylan's Brewery,870
3457,Three Philosophers Belgian Style Blend (Quadrupel),Quadrupel (Quad),9.8,Brewery Ommegang,42
3523,Éphémère (Apple),Fruit / Vegetable Beer,5.5,Unibroue,22
